Date,Type,Title,Info,Currency,Amount,Fees & Taxes,Net
31-Jan-22,Deposit,€678.00 sent to your bank account,,EUR,--,--,--
30-Jan-22,VAT,VAT: listing,listing: 1155967404,EUR,--,-€ 0.04,-€ 0.04
30-Jan-22,Fee,Listing fee ($0.20 USD),Listing #1155967404,EUR,--,-€ 0.18,-€ 0.18
29-Jan-22,VAT,VAT: renew sold,renew sold: 888617862,EUR,--,-€ 0.04,-€ 0.04
29-Jan-22,Fee,Listing fee ($0.20 USD),Listing #888617862,EUR,--,-€ 0.18,-€ 0.18
29-Jan-22,VAT,VAT: transaction,transaction: 2857708264,EUR,--,-€ 3.29,-€ 3.29
29-Jan-22,VAT,VAT: Processing Fee,order: 2360875283,EUR,--,-€ 2.78,-€ 2.78
29-Jan-22,Fee,Transaction fee: Product,Order #2360875283,EUR,--,-€ 15.65,-€ 15.65
29-Jan-22,Tax,Sales tax paid by buyer,Order #2360875283,EUR,--,-€ 18.31,-€ 18.31
29-Jan-22,Fee,Processing fee,Order #2360875283,EUR,--,-€ 13.24,-€ 13.24
29-Jan-22,Sale,Payment for Order #2360875283,,EUR,€ 323.51,--,€ 323.51
28-Jan-22,VAT,VAT: listing,listing: 1154998844,EUR,--,-€ 0.04,-€ 0.04
28-Jan-22,Fee,Listing fee ($0.20 USD),Listing #1154998844,EUR,--,-€ 0.18,-€ 0.18
28-Jan-22,VAT,VAT: listing,listing: 1168937879,EUR,--,-€ 0.04,-€ 0.04
28-Jan-22,Fee,Listing fee ($0.20 USD),Listing #1168937879,EUR,--,-€ 0.18,-€ 0.18
28-Jan-22,VAT,VAT: listing,listing: 1168934951,EUR,--,-€ 0.04,-€ 0.04
28-Jan-22,Fee,Listing fee ($0.20 USD),Listing #1168934951,EUR,--,-€ 0.18,-€ 0.18
28-Jan-22,VAT,VAT: renew sold,renew sold: 888617862,EUR,--,-€ 0.04,-€ 0.04
28-Jan-22,Fee,Listing fee ($0.20 USD),Listing #888617862,EUR,--,-€ 0.18,-€ 0.18
28-Jan-22,VAT,VAT: transaction,transaction: 2856778768,EUR,--,-€ 4.97,-€ 4.97
28-Jan-22,VAT,VAT: Processing Fee,order: 2360298404,EUR,--,-€ 4.21,-€ 4.21
28-Jan-22,Fee,Transaction fee: Product,Order #2360298404,EUR,--,-€ 23.69,-€ 23.69
28-Jan-22,Tax,Sales tax paid by buyer,Order #2360298404,EUR,--,-€ 31.19,-€ 31.19
28-Jan-22,Fee,Processing fee,Order #2360298404,EUR,--,-€ 20.03,-€ 20.03
28-Jan-22,Sale,Payment for Order #2360298404,,EUR,€ 493.17,--,€ 493.17
27-Jan-22,Deposit,€381.50 sent to your bank account,,EUR,--,--,--
27-Jan-22,VAT,VAT: renew sold,renew sold: 1080535309,EUR,--,-€ 0.04,-€ 0.04
27-Jan-22,Fee,Listing fee ($0.20 USD),Listing #1080535309,EUR,--,-€ 0.18,-€ 0.18
26-Jan-22,VAT,VAT: transaction,transaction: 2853926182,EUR,--,-€ 4.64,-€ 4.64
26-Jan-22,VAT,VAT: Processing Fee,order: 2358294329,EUR,--,-€ 3.91,-€ 3.91
26-Jan-22,Fee,Transaction fee: Product,Order #2358294329,EUR,--,-€ 22.10,-€ 22.10
26-Jan-22,Tax,Sales tax paid by buyer,Order #2358294329,EUR,--,-€ 27.37,-€ 27.37
26-Jan-22,Fee,Processing fee,Order #2358294329,EUR,--,-€ 18.63,-€ 18.63
26-Jan-22,Sale,Payment for Order #2358294329,,EUR,€ 458.37,--,€ 458.37
26-Jan-22,Deposit,€797.87 sent to your bank account,,EUR,--,--,--
26-Jan-22,VAT,VAT: listing,listing: 1153406852,EUR,--,-€ 0.04,-€ 0.04
26-Jan-22,Fee,Listing fee ($0.20 USD),Listing #1153406852,EUR,--,-€ 0.18,-€ 0.18
25-Jan-22,Deposit,€262.09 sent to your bank account,,EUR,--,--,--
