Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net
"February 28, 2022",Deposit,"€357.97 sent to your bank account",,EUR,--,--,--
"February 25, 2022",VAT,"VAT: renew sold","renew sold: 1069859018",EUR,--,-€0.04,-€0.04
"February 25, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1069859018",EUR,--,-€0.18,-€0.18
"February 25, 2022",VAT,"VAT: Offsite Ads fee","order: 2391552030",EUR,--,-€12.59,-€12.59
"February 25, 2022",VAT,"VAT: transaction","transaction: 2898493626",EUR,--,-€5.25,-€5.25
"February 25, 2022",VAT,"VAT: Processing Fee","order: 2391552030",EUR,--,-€4.48,-€4.48
"February 25, 2022",Marketing,"Fee for sale made through Offsite Ads","Order #2391552030",EUR,--,-€59.97,-€59.97
"February 25, 2022",Fee,"Transaction fee: Elegant A-Line Off Shoulder Puff Sleeve ...","Order #2391552030",EUR,--,-€24.99,-€24.99
"February 25, 2022",Tax,"Sales tax paid by buyer","Order #2391552030",EUR,--,-€38.98,-€38.98
"February 25, 2022",Fee,"Processing fee","Order #2391552030",EUR,--,-€21.35,-€21.35
"February 25, 2022",Sale,"Payment for Order #2391552030",,EUR,€526.24,--,€526.24
"February 22, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 890448509",EUR,--,-€0.04,-€0.04
"February 22, 2022",Fee,"Listing fee ($0.20 USD)","Listing #890448509",EUR,--,-€0.18,-€0.18
"February 21, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 878566137",EUR,--,-€0.04,-€0.04
"February 21, 2022",Fee,"Listing fee ($0.20 USD)","Listing #878566137",EUR,--,-€0.18,-€0.18
"February 18, 2022",Deposit,"€385.77 sent to your bank account",,EUR,--,--,--
"February 17, 2022",VAT,"VAT: renew sold","renew sold: 1108811202",EUR,--,-€0.04,-€0.04
"February 17, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1108811202",EUR,--,-€0.18,-€0.18
"February 17, 2022",VAT,"VAT: transaction","transaction: 2886924508",EUR,--,-€4.71,-€4.71
"February 17, 2022",VAT,"VAT: Processing Fee","order: 2383011182",EUR,--,-€4.11,-€4.11
"February 17, 2022",Fee,"Transaction fee: Simple Mid-Calf Off The Shoulder Wedding...","Order #2383011182",EUR,--,-€22.41,-€22.41
"February 17, 2022",Tax,"Sales tax paid by buyer","Order #2383011182",EUR,--,-€44.14,-€44.14
"February 17, 2022",Fee,"Processing fee","Order #2383011182",EUR,--,-€19.55,-€19.55
"February 17, 2022",Sale,"Payment for Order #2383011182",,EUR,€481.13,--,€481.13
"February 15, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 878570021",EUR,--,-€0.04,-€0.04
"February 15, 2022",Fee,"Listing fee ($0.20 USD)","Listing #878570021",EUR,--,-€0.18,-€0.18
"February 15, 2022",Deposit,"€403.03 sent to your bank account",,EUR,--,--,--
"February 15, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 849143722",EUR,--,-€0.04,-€0.04
"February 15, 2022",Fee,"Listing fee ($0.20 USD)","Listing #849143722",EUR,--,-€0.18,-€0.18
"February 14, 2022",VAT,"VAT: renew sold","renew sold: 1060204040",EUR,--,-€0.04,-€0.04
"February 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1060204040",EUR,--,-€0.18,-€0.18
"February 14, 2022",VAT,"VAT: transaction","transaction: 2886377229",EUR,--,-€4.92,-€4.92
"February 14, 2022",VAT,"VAT: Processing Fee","order: 2379802399",EUR,--,-€4.20,-€4.20
"February 14, 2022",Fee,"Transaction fee: Minimalist A-Line Off Shoulder Wedding D...","Order #2379802399",EUR,--,-€23.42,-€23.42
"February 14, 2022",Tax,"Sales tax paid by buyer","Order #2379802399",EUR,--,-€35.39,-€35.39
"February 14, 2022",Fee,"Processing fee","Order #2379802399",EUR,--,-€19.98,-€19.98
"February 14, 2022",Sale,"Payment for Order #2379802399",,EUR,€492.04,--,€492.04
"February 11, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 882867615",EUR,--,-€0.04,-€0.04
"February 11, 2022",Fee,"Listing fee ($0.20 USD)","Listing #882867615",EUR,--,-€0.18,-€0.18
"February 11, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 868931488",EUR,--,-€0.04,-€0.04
"February 11, 2022",Fee,"Listing fee ($0.20 USD)","Listing #868931488",EUR,--,-€0.18,-€0.18
"February 11, 2022",VAT,"VAT: auto-renew expired","auto-renew expired: 878566295",EUR,--,-€0.04,-€0.04
"February 11, 2022",Fee,"Listing fee ($0.20 USD)","Listing #878566295",EUR,--,-€0.18,-€0.18
"February 10, 2022",Deposit,"€437.80 sent to your bank account",,EUR,--,--,--
"February 9, 2022",VAT,"VAT: renew sold","renew sold: 1069859018",EUR,--,-€0.04,-€0.04
"February 9, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1069859018",EUR,--,-€0.17,-€0.17
"February 9, 2022",VAT,"VAT: shipping transaction",,EUR,--,-€0.27,-€0.27
"February 9, 2022",VAT,"VAT: transaction","transaction: 2876390242",EUR,--,-€5.04,-€5.04
"February 9, 2022",VAT,"VAT: Processing Fee","order: 2373980079",EUR,--,-€4.20,-€4.20
"February 9, 2022",Fee,"Processing fee","Order #2373980079",EUR,--,-€20.01,-€20.01
"February 9, 2022",Sale,"Payment for Order #2373980079",,EUR,€492.80,--,€492.80
"February 9, 2022",Fee,"Transaction fee: Shipping","Order #2373980079",EUR,--,-€1.27,-€1.27
