Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net
"April 15, 2022",VAT,"VAT: renew sold","renew sold: 1081700353",EUR,--,-€0.04,-€0.04
"April 15, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1081700353",EUR,--,-€0.18,-€0.18
"April 15, 2022",VAT,"VAT: transaction","transaction: 2973213753",EUR,--,-€5.57,-€5.57
"April 15, 2022",VAT,"VAT: shipping transaction",,EUR,--,-€0.37,-€0.37
"April 15, 2022",VAT,"VAT: Processing Fee","order: 2442920924",EUR,--,-€3.63,-€3.63
"April 15, 2022",Fee,"Processing fee","Order #2442920924",EUR,--,-€17.27,-€17.27
"April 15, 2022",Sale,"Payment for Order #2442920924","Funds will be available on Apr 16, 2022",EUR,€424.18,--,€424.18
"April 15, 2022",Fee,"Transaction fee: Shipping","Order #2442920924",EUR,--,-€1.74,-€1.74
"April 15, 2022",Fee,"Transaction fee: Simple Wedding Dress, Short Sleeve Weddi...","Order #2442920924",EUR,--,-€26.53,-€26.53
"April 14, 2022",VAT,"VAT: renew sold","renew sold: 1069859018",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1069859018",EUR,--,-€0.18,-€0.18
"April 14, 2022",VAT,"VAT: shipping transaction",,EUR,--,-€0.37,-€0.37
"April 14, 2022",VAT,"VAT: transaction","transaction: 2972568361",EUR,--,-€5.99,-€5.99
"April 14, 2022",VAT,"VAT: Processing Fee","order: 2443692409",EUR,--,-€3.88,-€3.88
"April 14, 2022",Fee,"Transaction fee: Shipping","Order #2443692409",EUR,--,-€1.74,-€1.74
"April 14, 2022",Sale,"Payment for Order #2443692409",,EUR,€454.12,--,€454.12
"April 14, 2022",Fee,"Transaction fee: Long Sleeve Wedding Dress, A Line Weddin...","Order #2443692409",EUR,--,-€28.53,-€28.53
"April 14, 2022",Fee,"Processing fee","Order #2443692409",EUR,--,-€18.46,-€18.46
"April 14, 2022",VAT,"VAT: listing","listing: 1201519282",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201519282",EUR,--,-€0.18,-€0.18
"April 14, 2022",VAT,"VAT: listing","listing: 1201514276",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201514276",EUR,--,-€0.18,-€0.18
"April 14, 2022",VAT,"VAT: listing","listing: 1201511372",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201511372",EUR,--,-€0.18,-€0.18
"April 14, 2022",VAT,"VAT: listing","listing: 1215460749",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1215460749",EUR,--,-€0.18,-€0.18
"April 14, 2022",VAT,"VAT: listing","listing: 1215455493",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1215455493",EUR,--,-€0.18,-€0.18
"April 14, 2022",VAT,"VAT: listing","listing: 1201501666",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201501666",EUR,--,-€0.19,-€0.19
"April 14, 2022",VAT,"VAT: listing","listing: 1215449323",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1215449323",EUR,--,-€0.19,-€0.19
"April 14, 2022",VAT,"VAT: listing","listing: 1215420299",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1215420299",EUR,--,-€0.19,-€0.19
"April 14, 2022",VAT,"VAT: listing","listing: 1201429624",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201429624",EUR,--,-€0.19,-€0.19
"April 14, 2022",VAT,"VAT: listing","listing: 1215377237",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1215377237",EUR,--,-€0.19,-€0.19
"April 14, 2022",VAT,"VAT: listing","listing: 1201421514",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201421514",EUR,--,-€0.19,-€0.19
"April 14, 2022",VAT,"VAT: listing","listing: 1201417122",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201417122",EUR,--,-€0.19,-€0.19
"April 14, 2022",VAT,"VAT: listing","listing: 1215364873",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1215364873",EUR,--,-€0.19,-€0.19
"April 14, 2022",VAT,"VAT: listing","listing: 1201398490",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #1201398490",EUR,--,-€0.18,-€0.18
"April 14, 2022",VAT,"VAT: renew expired","renew expired: 864653464",EUR,--,-€0.04,-€0.04
"April 14, 2022",Fee,"Listing fee ($0.20 USD)","Listing #864653464",EUR,--,-€0.18,-€0.18
"April 14, 2022",VAT,"VAT: transaction","transaction: 2972159781",EUR,--,-€5.76,-€5.76
"April 14, 2022",VAT,"VAT: Processing Fee","order: 2442208500",EUR,--,-€3.79,-€3.79
"April 14, 2022",Fee,"Transaction fee: Mermaid Wedding Dress, Long Sleeve Weddi...","Order #2442208500",EUR,--,-€27.41,-€27.41
"April 14, 2022",Tax,"Sales tax paid by buyer","Order #2442208500",EUR,--,-€32.07,-€32.07
"April 14, 2022",Fee,"Processing fee","Order #2442208500",EUR,--,-€18.03,-€18.03
"April 14, 2022",Sale,"Payment for Order #2442208500",,EUR,€443.18,--,€443.18
"April 13, 2022",Deposit,"€30.87 sent to your bank account",,EUR,--,--,--
"April 13, 2022",Fee,"Credit for transaction fee on Minimalist A-Line Strapless Wedding Dres...","Order #2358294329",EUR,--,€22.10,€22.10
"April 13, 2022",VAT,"VAT: transaction credit","transaction credit: 2853926182",EUR,--,€4.64,€4.64
